[15.0, 0.002521356425200049]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[4.0, 0.004494591082318006]
[5.0, 0.0037309017992305698]
[4.0, 0.004494591082318006]
[7.0, 0.003108517312379022]
[8.0, 0.002933085826057354]
[10.0, 0.0026807749306666947]
[6.0, 0.0033433757505734515]
[5.0, 0.0037309017992305698]
[13.0, 0.0025755917738613026]
[12.0, 0.0026383384109738782]
[6.0, 0.0033433757505734515]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[12.0, 0.0026383384109738782]
[10.0, 0.0026807749306666947]
[14.0, 0.0025446202863653065]
[14.0, 0.0025446202863653065]
[14.0, 0.0025446202863653065]
[12.0, 0.0026383384109738782]
[10.0, 0.0026807749306666947]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[9.0, 0.002866812587390486]
[6.0, 0.0033433757505734515]
[4.0, 0.004494591082318006]
[4.0, 0.004494591082318006]
[4.0, 0.004494591082318006]
[4.0, 0.004494591082318006]
[4.0, 0.004494591082318006]
[4.0, 0.004494591082318006]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
[3.0, 0.0057311017992305695]
