[22.0, 0.0006019687146208856]
[13.0, 0.0010020377849939983]
[13.0, 0.0010020377849939983]
[16.0, 0.0008019286317995039]
[21.0, 0.0006019977849939984]
[15.0, 0.0010019486317995039]
[20.0, 0.0008016181828322174]
[18.0, 0.0008019241004534322]
[20.0, 0.0008016181828322174]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[14.0, 0.0010019615040029863]
[15.0, 0.0010019486317995039]
[14.0, 0.0010019615040029863]
[18.0, 0.0008019241004534322]
[20.0, 0.0008016181828322174]
[20.0, 0.0008016181828322174]
[20.0, 0.0008016181828322174]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[19.0, 0.0008018042147174794]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[18.0, 0.0008019241004534322]
[15.0, 0.0010019486317995039]
[14.0, 0.0010019615040029863]
[21.0, 0.000801554311082318]
[21.0, 0.000801554311082318]
[17.0, 0.0012020084173123792]
[17.0, 0.0012020084173123792]
[18.0, 0.0008019415040029864]
[20.0, 0.0008018042147174794]
[19.0, 0.0008019241004534322]
[19.0, 0.0008019241004534322]
[18.0, 0.0008019415040029864]
[21.0, 0.000801554311082318]
[21.0, 0.000801554311082318]
[21.0, 0.000801554311082318]
[21.0, 0.000801554311082318]
